Zip3,StateCode,CountyID,CountyName,Latitude,LocationConfidence,Longitude,Rent50_2,pop2000
116xx,NY,81,Queens,40.59904286,1,-73.82092857,1544,2229379
117xx,NY,103,Suffolk,40.80304146,0.792682927,-73.24311829,1801,1419369
118xx,NY,59,Nassau,40.76985714,1,-73.52198571,1801,1334544
119xx,NY,103,Suffolk,40.92237111,1,-72.55388889,1801,1419369
120xx,NY,1,Albany,42.68548592,0.197183099,-73.93765634,928,294565
121xx,NY,83,Rensselaer,42.68753014,0.232876712,-73.92784795,928,152538
122xx,NY,1,Albany,42.658598,1,-73.763798,928,294565
123xx,NY,93,Schenectady,42.8133,1,-73.94814545,928,146555
124xx,NY,111,Ulster,42.08288193,0.56626506,-74.20542892,1220,177749
125xx,NY,27,Dutchess,41.76245811,0.472972973,-73.86716351,1307,280150
126xx,NY,27,Dutchess,41.7285,1,-73.8153,1307,280150
127xx,NY,105,Sullivan,41.69205167,0.933333333,-74.76914667,956,73966
128xx,NY,113,Warren,43.49333731,0.343283582,-73.72023582,912,63303
129xx,NY,19,Clinton,44.56605135,0.337837838,-73.91770946,844,79894
130xx,NY,67,Onondaga County,42.98501607,0.339285714,-76.18777143,790,458336
131xx,NY,75,Oswego,43.06833519,0.240740741,-76.26885741,790,122377
132xx,NY,67,Onondaga County,43.04809643,1,-76.15917857,790,458336
133xx,NY,65,Oneida,43.15380727,0.345454545,-75.22918,789,235469
134xx,NY,65,Oneida,43.111525,0.411764706,-75.27378235,789,235469
135xx,NY,65,Oneida,43.09973333,1,-75.23203333,789,235469
136xx,NY,45,Jefferson,44.29293977,0.465909091,-75.52861364,902,111738
137xx,NY,7,Broome,42.25031489,0.361702128,-75.53471489,771,200536
138xx,NY,25,Delaware,42.34052,0.2,-75.58102222,734,48055
139xx,NY,7,Broome,42.113,1,-75.8936,771,200536
140xx,NY,29,Erie,42.80046462,0.461538462,-78.63154154,759,950265
141xx,NY,29,Erie,42.81937073,0.317073171,-78.72277805,759,950265
142xx,NY,29,Erie,42.86941818,1,-78.84533636,759,950265
143xx,NY,63,Niagara,43.09664,1,-79.02746,759,219846
144xx,NY,51,Livingston,42.97265472,0.226415094,-77.6131717,840,64328
145xx,NY,117,Wayne,42.94893492,0.238095238,-77.49012381,840,93765
146xx,NY,55,Monroe,43.1981025,1,-77.636595,840,735343
147xx,NY,13,Chautauqua,42.20365942,0.449275362,-78.86778261,765,139750
148xx,NY,101,Steuben,42.31125679,0.333333333,-77.11003086,765,98726
149xx,NY,15,Chemung,42.10554,1,-76.8188,852,91070
150xx,PA,3,Allegheny County,40.468475,0.486842105,-80.06482368,712,1281666
151xx,PA,3,Allegheny County,40.42116774,1,-79.93783548,712,1281666
152xx,PA,3,Allegheny County,40.440268,1,-80.00187067,712,1281666
153xx,PA,125,Washington,40.04062982,0.596491228,-80.16255614,712,202897
154xx,PA,51,Fayette,39.95304932,0.808219178,-79.75045753,712,148644
155xx,PA,111,Somerset,39.973635,0.7,-78.88894,563,80023
156xx,PA,129,Westmoreland,40.32093636,0.922077922,-79.53429351,712,369993
157xx,PA,63,Indiana,40.72753077,0.569230769,-79.02208615,606,89605
158xx,PA,47,Elk,41.25126452,0.387096774,-78.70908065,563,35112
159xx,PA,21,Cambria,40.35586739,0.652173913,-78.85846304,592,152598
160xx,PA,19,Butler,40.93615,0.880952381,-79.8845619,712,174083
161xx,PA,85,Mercer,41.14836667,0.422222222,-80.34331778,684,120293
162xx,PA,5,Armstrong,41.016025,0.454545455,-79.38804545,585,72392
163xx,PA,123,Warren,41.57273265,0.306122449,-79.55462653,572,43863
164xx,PA,49,Erie,41.89063714,0.571428571,-80.02809143,747,280843
165xx,PA,49,Erie,42.13383846,1,-80.07215769,747,280843
166xx,PA,13,Blair,40.48408919,0.216216216,-78.34762568,646,129144
167xx,PA,83,McKean,41.80800435,0.782608696,-78.50123043,618,45936
168xx,PA,27,Centre,40.93801017,0.508474576,-77.9956678,904,135758
169xx,PA,117,Tioga,41.82859394,0.606060606,-77.2646303,598,41373
170xx,PA,75,Lebanon,40.40051196,0.195652174,-77.03432826,754,120327
171xx,PA,43,Dauphin,40.27812308,1,-76.86315769,814,251798
172xx,PA,55,Franklin County,39.99969038,0.596153846,-77.76567692,690,129313
173xx,PA,133,York County,39.9001614,0.684210526,-76.87214386,845,381751
174xx,PA,133,York County,39.9649875,1,-76.697,845,381751
175xx,PA,71,Lancaster County,40.05520333,1,-76.238145,878,470658
176xx,PA,71,Lancaster County,40.04074545,1,-76.30911818,878,470658
177xx,PA,81,Lycoming,41.287675,0.5,-77.12122955,728,120044
178xx,PA,97,Northumberland,40.88302,0.333333333,-76.80452833,563,94556
179xx,PA,107,Schuylkill,40.70758936,0.978723404,-76.27638936,574,150336
180xx,PA,95,Northampton,40.63646471,0.397058824,-75.45623971,1001,267066
181xx,PA,77,Lehigh,40.612125,1,-75.507725,1001,312090
182xx,PA,79,Luzerne,40.91432632,0.394736842,-75.94981842,672,319250
183xx,PA,89,Monroe,41.0746875,0.775,-75.23986,902,138687
184xx,PA,127,Wayne,41.5635807,0.456140351,-75.40783684,647,47722
185xx,PA,69,Lackawanna,41.407475,1,-75.664225,672,213295
186xx,PA,79,Luzerne,41.31183415,0.56097561,-76.05522927,672,319250
187xx,PA,79,Luzerne,41.25530556,1,-75.88465556,672,319250
188xx,PA,115,Susquehanna,41.82342973,0.540540541,-76.07772162,606,42238
189xx,PA,17,Bucks County,40.34974167,0.833333333,-75.17948167,1075,597635
190xx,PA,45,Delaware,40.00896163,0.546511628,-75.22210814,1075,550864
191xx,PA,101,Philadelphia County,39.99055432,0.975308642,-75.14387284,1075,1517550
192xx,PA,101,Philadelphia County,40.0018,1,-75.1179,1075,1517550
193xx,PA,29,Chester,39.92609623,0.867924528,-75.71747736,1075,433501
194xx,PA,91,Montgomery County,40.17400169,0.728813559,-75.42688983,1075,750097
195xx,PA,11,Berks,40.40905455,0.909090909,-75.88807273,870,373638
196xx,PA,11,Berks,40.34839167,1,-75.94665833,870,373638
197xx,DE,3,New Castle,39.61816296,1,-75.63681481,1075,500265
198xx,DE,3,New Castle,39.701756,1,-75.569036,1075,500265
199xx,DE,5,Sussex,38.87508636,0.522727273,-75.43593864,807,156638
200xx,DC,1,District of Columbia,38.90131972,1,-77.01998169,1506,572059
201xx,VA,107,Loudoun,38.9247075,0.425,-77.5909325,1506,169599
202xx,DC,1,District of Columbia,38.89363922,1,-77.01806078,1506,572059
203xx,DC,1,District of Columbia,38.89015,1,-77.01427857,1506,572059
204xx,DC,1,District of Columbia,38.89507755,1,-77.02179796,1506,572059
205xx,DC,1,District of Columbia,38.89532143,1,-77.02391,1506,572059
206xx,MD,37,St. Mary's,38.40477941,0.426470588,-76.73067353,1128,86211
207xx,MD,33,Prince George's County,38.91183671,0.734177215,-76.82874177,1506,801515
208xx,MD,31,Montgomery County,39.10935424,1,-77.16383051,1506,873341
209xx,MD,31,Montgomery County,39.01403889,0.944444444,-77.01875556,1506,873341
210xx,MD,5,Baltimore County,39.36836379,0.310344828,-76.57158276,1231,754292
211xx,MD,5,Baltimore County,39.38600882,0.441176471,-76.64483235,1231,754292
212xx,MD,510,Baltimore (city),39.31369677,0.629032258,-76.61047097,1231,651154
214xx,MD,3,Anne Arundel County,38.991025,1,-76.522975,1231,489656
215xx,MD,1,Allegany,39.58894,0.7,-78.97200333,613,74930
216xx,MD,41,Talbot,38.8612129,0.241935484,-76.05022581,984,33812
217xx,MD,21,Frederick,39.49660909,0.46969697,-77.48035909,1506,195277
218xx,MD,45,Wicomico,38.27059767,0.418604651,-75.61043256,982,84644
219xx,MD,15,Cecil,39.55970588,1,-75.95681176,1075,85951
220xx,VA,59,Fairfax County,38.83099333,0.766666667,-77.2532,1506,969749
221xx,VA,59,Fairfax County,38.78917027,0.756756757,-77.25181081,1506,969749
222xx,VA,13,Arlington,38.87448929,1,-77.09696786,1506,189453
223xx,VA,510,City of Alexandria,38.79660952,0.619047619,-77.08743333,1506,128283
224xx,VA,179,Stafford County,38.12536486,0.162162162,-77.06740811,1506,92446
225xx,VA,103,Lancaster,38.04599778,0.177777778,-77.00492889,805,11567
226xx,VA,69,Frederick,39.02976364,0.303030303,-78.21815455,956,59209
227xx,VA,113,Madison,38.47046486,0.378378378,-78.05721622,719,12520
228xx,VA,165,Rockingham,38.55937742,0.580645161,-78.81823226,830,67725
229xx,VA,3,Albemarle,38.03772245,0.306122449,-78.5732,1086,79236
230xx,VA,115,Mathews,37.5859807,0.157894737,-77.12536842,1064,9207
231xx,VA,73,Gloucester,37.5459623,0.131147541,-77.03582131,1064,34780
232xx,VA,760,City of Richmond,37.53635833,0.604166667,-77.47976667,882,197790
233xx,VA,1,Accomack,37.36971053,0.447368421,-75.9566,718,38305
234xx,VA,1,Accomack,37.23988095,0.365079365,-76.00200159,718,38305
235xx,VA,710,Norfolk (city),36.89677143,1,-76.25842381,1064,234403
236xx,VA,650,Hampton (city),37.10696333,0.4,-76.44094667,1064,146437
237xx,VA,740,Portsmouth (city),36.8442125,1,-76.35065,1064,100565
238xx,VA,25,Brunswick,36.96824576,0.186440678,-77.42678305,571,18419
239xx,VA,37,Charlotte,37.01570263,0.263157895,-78.41458421,569,12472
240xx,VA,770,Roanoke (city),37.19612763,0.473684211,-80.04407105,779,94911
241xx,VA,71,Giles,37.08038462,0.134615385,-80.14725577,541,16657
242xx,VA,105,Lee,36.83984694,0.183673469,-82.47691429,541,23589
243xx,VA,197,Wythe,36.8378525,0.225,-81.1333525,541,27599
244xx,VA,15,Augusta,38.08096383,0.361702128,-79.3577617,659,65615
245xx,VA,143,Pittsylvania,37.14793125,0.15625,-79.12950156,632,61745
246xx,VA,185,Tazewell,37.20165758,0.515151515,-81.79268485,541,44598
247xx,WV,55,Mercer,37.39605789,0.842105263,-81.2104,543,62980
248xx,WV,47,McDowell,37.46700702,0.631578947,-81.63623684,499,27329
249xx,WV,25,Greenbrier,37.84711667,0.388888889,-80.42771667,548,34453
250xx,WV,39,Kanawha,38.20074808,0.307692308,-81.48692115,649,200073
251xx,WV,39,Kanawha,38.22658462,0.25,-81.51569231,649,200073
252xx,WV,35,Jackson,38.61439,0.275,-81.5609775,530,28000
253xx,WV,39,Kanawha,38.34204255,1,-81.61852979,649,200073
254xx,WV,3,Berkeley County,39.40235517,0.413793103,-78.03887931,807,75905
255xx,WV,43,Lincoln,38.29116744,0.325581395,-82.17073953,649,22108
256xx,WV,45,Logan,37.76263617,0.510638298,-82.04535532,499,37710
257xx,WV,11,Cabell,38.41474,0.975,-82.34175,624,96784
258xx,WV,81,Raleigh,37.79196596,0.468085106,-81.21941915,562,79220
259xx,WV,81,Raleigh,37.783275,0.325,-81.0703175,562,79220
260xx,WV,51,Marshall,40.17166667,0.333333333,-80.6265875,584,35519
261xx,WV,107,Wood,39.22238158,0.421052632,-81.29455789,629,87986
262xx,WV,83,Randolph,38.76786481,0.388888889,-80.05833148,499,28262
263xx,WV,33,Harrison,39.19835152,0.303030303,-80.5193697,610,68652
264xx,WV,33,Harrison,39.25780667,0.3,-80.40165,610,68652
265xx,WV,49,Marion,39.5729413,0.391304348,-80.10867826,603,56598
266xx,WV,67,Nicholas,38.4608931,0.517241379,-80.80632414,499,26562
267xx,WV,27,Hampshire,39.35911304,0.347826087,-78.96312174,956,20203
268xx,WV,71,Pendleton,38.94777083,0.333333333,-79.0157375,499,8196
270xx,NC,67,Forsyth,36.254005,0.275,-80.3968075,662,306067
271xx,NC,67,Forsyth,36.065508,1,-80.241,662,306067
272xx,NC,81,Guilford County,35.89082593,0.222222222,-79.6896537,703,421048
273xx,NC,81,Guilford County,35.94230238,0.166666667,-79.64132619,703,421048
274xx,NC,81,Guilford County,36.0786,1,-79.80356071,703,421048
275xx,NC,183,Wake,35.87723125,0.25,-78.570305,884,627846
276xx,NC,183,Wake,35.80879773,1,-78.63363409,884,627846
277xx,NC,63,Durham,36.02049375,1,-78.89093125,831,223314
278xx,NC,131,Northampton,35.9070043,0.139784946,-77.43456989,624,22086
279xx,NC,53,Currituck,36.10359016,0.245901639,-76.19274426,1064,18190
280xx,NC,71,Gaston County,35.36891356,0.237288136,-81.01635763,825,190365
281xx,NC,159,Rowan,35.291762,0.14,-80.77044,724,130340
282xx,NC,119,Mecklenburg County,35.22921486,0.986486486,-80.82322162,825,695454
283xx,NC,51,Cumberland County,34.98517209,0.244186047,-78.98998837,744,302963
284xx,NC,129,New Hanover,34.29146984,0.238095238,-78.20202698,856,160307
285xx,NC,31,Carteret,35.00643662,0.23943662,-77.1173493,758,59383
286xx,NC,193,Wilkes,36.06850556,0.155555556,-81.37124778,584,65632
287xx,NC,89,Henderson,35.44388391,0.195402299,-82.6839931,761,89173
288xx,NC,21,Buncombe County,35.60043636,1,-82.54426364,761,206330
289xx,NC,39,Cherokee,35.07664286,0.571428571,-83.94504286,585,24298
290xx,SC,63,Lexington,33.96644151,0.169811321,-80.81829811,809,216014
291xx,SC,75,Orangeburg,33.89073585,0.20754717,-80.88135283,586,91582
292xx,SC,79,Richland,34.01488824,0.941176471,-81.00374412,809,320677
293xx,SC,83,Spartanburg,34.85876604,0.716981132,-81.90291698,657,253791
294xx,SC,19,Charleston,32.96410833,0.472222222,-80.09676667,922,309969
295xx,SC,51,Horry,34.06307576,0.303030303,-79.4082197,849,196629
296xx,SC,45,Greenville,34.67904886,0.363636364,-82.56751705,673,379616
297xx,SC,91,York,34.88366563,0.5,-80.94650937,825,164614
298xx,SC,3,Aiken,33.52399773,0.477272727,-81.76273636,680,142552
299xx,SC,13,Beaufort,32.54121795,0.487179487,-80.90029231,932,120937
300xx,GA,135,Gwinnett County,33.87865955,0.303370787,-84.1833427,893,588448
301xx,GA,115,Floyd,34.02228831,0.155844156,-84.86703896,699,90565
302xx,GA,63,Clayton,33.3281,0.2,-84.47469077,893,236517
303xx,GA,121,Fulton County,33.809052,0.813333333,-84.386804,893,816006
304xx,GA,31,Bulloch,32.41372449,0.142857143,-82.12332857,585,55983
305xx,GA,139,Hall,34.51686,0.171428571,-83.71832,820,139277
306xx,GA,59,Clarke,33.88898654,0.211538462,-83.26915,764,101489
307xx,GA,313,Whitfield County,34.76170833,0.222222222,-85.09056667,643,83525
308xx,GA,163,Jefferson,33.343456,0.16,-82.358596,536,17266
309xx,GA,245,Richmond,33.43296154,0.923076923,-82.07514615,680,199775
310xx,GA,153,Houston,32.59656196,0.119565217,-83.45854565,774,110765
311xx,GA,121,Fulton County,33.85005625,0.75,-84.36849375,893,816006
312xx,GA,21,Bibb,32.81893,1,-83.6651,698,153887
313xx,GA,179,Liberty,31.91482963,0.333333333,-81.42026667,690,61610
314xx,GA,51,Chatham,32.02562105,1,-81.0998,862,232048
315xx,GA,127,Glynn,31.34132115,0.153846154,-82.13002115,756,67568
316xx,GA,185,Lowndes,30.98653939,0.333333333,-83.20573636,683,92115
317xx,GA,71,Colquitt County,31.45943651,0.142857143,-83.86965714,536,42053
318xx,GA,145,Harris,32.51752593,0.259259259,-84.72149259,726,23695
319xx,GA,215,Muscogee,32.4841625,1,-84.93118125,726,186291
320xx,FL,19,Clay County,30.16428793,0.172413793,-82.12442241,943,140814
321xx,FL,127,Volusia County,29.30752174,0.434782609,-81.42898261,899,443343
322xx,FL,31,Duval,30.30710385,0.961538462,-81.63159423,943,778879
323xx,FL,73,Leon,30.34415667,0.35,-84.27163333,859,239452
324xx,FL,5,Bay,30.48620741,0.351851852,-85.57262593,867,148217
325xx,FL,33,Escambia,30.53164,0.466666667,-86.99153167,788,294410
326xx,FL,1,Alachua,29.59426364,0.563636364,-82.45591091,863,217955
327xx,FL,117,Seminole,28.77848784,0.337837838,-81.31017703,996,365196
328xx,FL,95,Orange County,28.51778475,0.966101695,-81.3074661,996,896344
329xx,FL,9,Brevard,28.02651481,0.703703704,-80.59136296,888,476230
330xx,FL,11,Broward County,25.76190274,0.520547945,-80.42130411,1187,1623018
331xx,FL,86,Miami-Dade County,25.77135976,0.987804878,-80.26032683,1201,2253362
332xx,FL,86,Miami-Dade County,25.77429091,1,-80.19903636,1201,2253362
333xx,FL,11,Broward County,26.126904,1,-80.220254,1187,1623018
334xx,FL,99,Palm Beach County,26.61078659,0.914634146,-80.17216341,1138,1131184
335xx,FL,57,Hillsborough County,28.09423898,0.610169492,-82.2697678,972,998948
336xx,FL,57,Hillsborough County,27.94257069,1,-82.4621569,972,998948
337xx,FL,103,Pinellas,27.86606935,1,-82.72933387,972,921482
338xx,FL,105,Polk County,27.89355362,0.782608696,-81.70479855,819,483924
339xx,FL,71,Lee County,26.68915606,0.621212121,-81.89564697,958,440888
340xx,AA,33,Dillon,33.0364,1,-82.2493,,
341xx,FL,21,Collier County,26.15464333,0.866666667,-81.65900667,1099,251377
342xx,FL,115,Sarasota County,27.31178529,0.485294118,-82.42246029,995,325957
344xx,FL,83,Marion,29.01691957,0.5,-82.31552826,773,258916
346xx,FL,101,Pasco County,28.3075766,0.425531915,-82.60682979,972,344765
347xx,FL,69,Lake County,28.49576279,0.418604651,-81.60719302,996,210528
349xx,FL,111,St. Lucie,27.30260625,0.59375,-80.38779375,977,192695
350xx,AL,73,Jefferson,33.57307937,0.26984127,-86.70226508,813,662047
351xx,AL,73,Jefferson,33.495066,0.28,-86.631862,813,662047
352xx,AL,73,Jefferson,33.5164,0.983606557,-86.84446393,813,662047
354xx,AL,125,Tuscaloosa,33.13714,0.6,-87.72677556,796,164875
355xx,AL,127,Walker,33.96778182,0.318181818,-87.64248182,599,70713
356xx,AL,77,Lauderdale,34.70217045,0.25,-87.29851136,623,87966
357xx,AL,71,Jackson,34.73783143,0.457142857,-86.35424,508,53926
358xx,AL,89,Madison,34.72451667,1,-86.57876667,712,276700
359xx,AL,49,DeKalb,34.28079024,0.341463415,-85.94935854,520,64452
360xx,AL,51,Elmore,32.15363939,0.151515152,-86.13845455,781,65874
361xx,AL,101,Montgomery,32.30259091,1,-86.24452424,781,223510
362xx,AL,15,Calhoun,33.580475,0.5,-85.70738333,676,112249
363xx,AL,69,Houston,31.28941538,0.307692308,-85.54731026,618,88787
364xx,AL,99,Monroe,31.40588158,0.342105263,-87.06390526,499,24324
365xx,AL,3,Baldwin,30.86027231,0.4,-87.94179385,752,140415
366xx,AL,97,Mobile County,30.68332,1,-88.12323714,771,399843
367xx,AL,131,Wilcox,32.31833696,0.239130435,-87.37819783,499,13183
368xx,AL,81,Lee,32.57209697,0.393939394,-85.32803333,748,115092
369xx,AL,23,Choctaw,32.13013846,0.769230769,-88.23185385,656,15922
370xx,TN,187,Williamson,36.12158571,0.12987013,-86.84748052,842,126638
371xx,TN,149,Rutherford,36.0599386,0.175438596,-86.70972632,842,182023
372xx,TN,37,Davidson,36.16645641,1,-86.78566154,842,569891
373xx,TN,65,Hamilton,35.26852414,0.149425287,-85.34277241,680,307896
374xx,TN,65,Hamilton,35.04139,1,-85.283515,680,307896
375xx,TN,157,Shelby County,35.15945,1,-90.01955,772,897472
376xx,TN,163,Sullivan,36.38267381,0.30952381,-82.35639286,597,153048
377xx,TN,25,Claiborne,36.16148868,0.113207547,-83.87197925,506,29862
378xx,TN,9,Blount,36.10356269,0.119402985,-83.77806119,704,105823
379xx,TN,93,Knox County,35.97165161,1,-83.96454839,704,382032
380xx,TN,157,Shelby County,35.48597833,0.216666667,-89.47592,772,897472
381xx,TN,157,Shelby County,35.15820484,1,-89.96181452,772,897472
382xx,TN,131,Obion,36.2833125,0.28125,-88.73624062,523,32450
383xx,TN,113,Madison,35.60766389,0.180555556,-88.56220278,726,91837
384xx,TN,99,Lawrence,35.29724,0.257142857,-87.29671714,511,39926
385xx,TN,141,Putnam,36.18713265,0.204081633,-85.41763061,561,62315
386xx,MS,33,DeSoto,34.59233594,0.140625,-89.82971719,772,107199
387xx,MS,11,Bolivar,33.56748696,0.347826087,-90.81435,689,40633
388xx,MS,81,Lee,34.309,0.24,-88.659982,629,75755
389xx,MS,135,Tallahatchie,33.77428444,0.222222222,-89.94918,535,14903
390xx,MS,49,Hinds,32.44887907,0.11627907,-90.15640233,784,250800
391xx,MS,121,Rankin,32.36364737,0.105263158,-90.24644035,784,115327
392xx,MS,49,Hinds,32.29427027,0.783783784,-90.17368919,784,250800
